Title,Author,Publisher,Year,Type,Status,Gemini_Summary,ISBN13,DateAdded
週刊文春エンタ+ 総力特集 怪獣8号 (文春ムック),,,,,REVISED,アニメ『怪獣8号』を大特集。原作者・松本直也やメインキャストらのインタビューのほか、第1話の絵コンテや怪獣イメージボードなどの貴重な設定資料を豊富に収録したファン必見の書。,,
週刊文春エンタ+ 特集 機動戦士ガンダム (文春MOOK),,,,,REVISED,『機動戦士ガンダム』の最新作などを網羅。安彦良和と樋口真嗣の豪華対談や、名セリフベスト10、ザク名場面集、宇宙世紀事件史年表など、ファン必見の魅力的な企画が満載。,,
週刊文春エンタ! エンタメが私を救う。 (文春MOOK),,,,,REVISED,広瀬アリスの漫画特集や、宮野真守・三石琴乃のインタビュー、『愛の不時着』など2020年当時の韓流・アニメトレンドを網羅した、時代を切り取る最強の総合エンタメ誌。,,
週刊文春エンタ! アニメの力。 (文春MOOK),,,,,REVISED,『エヴァンゲリオン』シリーズを総力特集。『シン・エヴァ』に向けた徹底解説や、緒方恵美、林原めぐみ、高橋洋子らの貴重なインタビューを収録したファン必読のムック。,,
文春ムック 週刊文春エンタ+(プラス) 特集『機動警察パトレイバー』 (文春ムック),,,,,REVISED,新作『機動警察パトレイバー EZY』を中心に大特集。押井守と出渕裕の対談や、週刊誌風の切り口で劇中の事件を紹介する記事を掲載。特別付録として特製ポスター＆シール付き。,,
コードギアス 反逆のルルーシュ ゼロ×ぴあ (ぴあMOOK),,,,,REVISED,『コードギアス 復活のルルーシュ』公開記念。仮面の男「ゼロ」を多角的に掘り下げ、人物相関図や名言集のほか、スザク役・櫻井孝宏のスペシャルコメントも収録したファン必携ムック。,,
STEINS;GATE 0 (6) (角川コミックス・エース),,,,,REVISED,幾千もの失敗と犠牲の上に辿り着いた最終局面。シュタインズ・ゲートに至る道を開くための「オペレーション・スクルド」が発動され、岡部倫太郎の孤独で壮絶な戦いが遂に完結する。,,
STEINS;GATE 0 (5) (角川コミックス・エース),,,,,REVISED,ついに「鳳凰院凶真」が復活を遂げる。幾多の絶望を乗り越え、タイムマシンを巡る各国の暗躍を阻止するため、岡部は仲間たちと共にβ世界線の過酷な収束に立ち向かう決意を固める。,,
STEINS;GATE 0 (4) (角川コミックス・エース),,,,,REVISED,洗脳されたかがりの脅威と、未来を変えようとする勢力の陰謀が交錯する。度重なる襲撃に追い詰められる中、岡部は失われた時間を取り戻すため、苦渋の決断を迫られる怒涛の展開。,,
STEINS;GATE ELITE 公式資料集 Deceive the World,,,,,REVISED,全編アニメーションで再構築された『STEINS;GATE ELITE』の公式資料集。キャラクター解説やアニメ制作用の表情集、世界線資料など、ラボメン必携の詳細な設定が満載。,,
STEINS;GATE 0 (3) (角川コミックス・エース),,,,,REVISED,記憶喪失の少女・かがりと共に暮らし始めるラボメンたち。しかし、彼女の記憶の奥底に隠された真実と、謎の襲撃者たちの暗躍により、岡部は再び世界線の分岐という残酷な現実に直面する。,,
STEINS;GATE 0 (2) (角川コミックス・エース),,,,,REVISED,アマデウスとの交流を通じて紅莉栖への未練に苛まれる岡部。そんな中、未来から来た少女・鈴羽と共に消えたはずの椎名かがりの行方探しが始まり、新たな不穏な影がラボに忍び寄る。,,
STEINS;GATE 0 (1) (角川コミックス・エース),,,,,REVISED,牧瀬紅莉栖の救出を諦め、日常に戻った岡部倫太郎。しかし、ヴィクトル・コンドリア大学のセミナーで彼女の記憶を持つAI「アマデウス」と出会ったことから、止まっていた歯車が再び動き出す。,,
STEINS;GATE 0 コミックアンソロジー (IDコミックス・DNAメディアコミックス),,,,,REVISED,『STEINS;GATE 0』のコミックアンソロジー。紅莉栖を救えなかったβ世界線を舞台に、豪華執筆陣がそれぞれの視点から描く、ラボメンたちの切なくも温かい日常と珠玉の短編集。,,
STEINS;GATE 0 電撃コミックアンソロジー (電撃コミックスEX),,,,,REVISED,『STEINS;GATE 0』の電撃コミックアンソロジー。お馴染みのラボメンに加え、AI「アマデウス」など新キャラクターたちも交え、β世界線ならではのもうひとつの日常を賑やかに描く。,,
STEINS;GATE 0 公式資料集 Amadeus’ Script,,,,,REVISED,『STEINS;GATE 0』に特化した公式資料集。新キャラクターの設定やイベントCGを網羅し、複雑に絡み合う伏線やβ世界線の構造まで徹底解説。物語の深淵に迫る。,,
STEINS;GATE 永劫回帰のパンドラ(1) (ファミ通クリアコミックス),,,,,REVISED,牧瀬紅莉栖を救えなかったβ世界線。失意の底で大学生活を送る岡部倫太郎は、セミナーで紅莉栖の先輩・比屋定真帆と出会い、AI「アマデウス」のテスト運用に関わることになる。,,
STEINS;GATE 無限遠点のアークライト (ヤングジャンプコミックス),,,,,REVISED,本編では語られなかった、β世界線における椎名まゆりの心情に焦点を当てた物語。絶望する岡部倫太郎を救うため、彼女が阿万音鈴羽と共に過去へ跳ぶ決意を固めるまでの切ない軌跡。,,
TVAnime STEINS;GATE OFFICIAL GUIDEBOOK 記憶補完のモノグラフ,,,,,REVISED,TVアニメ第1期『シュタインズ・ゲート』の軌跡を辿る公式ガイドブック。全24話のストーリー詳細解説に加え、声優陣のインタビューや緻密なアニメーション設定資料を収録。,,
STEINS;GATE 相思相愛のトゥルーメモリーズ,,,,,REVISED,アニメ版『シュタインズ・ゲート』に登場するヒロインたちの魅力に迫るファンブック。描き下ろしイラストをはじめ、女性キャラクター陣の解説やキャスト対談を収録している。,,
シュタインズ・ゲート 公式資料集,,,,,REVISED,初代ゲーム版『STEINS;GATE』のすべてを解き明かす公式資料集。初期キャラクター設定画や世界観の設定、詳細なシナリオ分岐の構成から開発者インタビューまで幅広く網羅。,,
スノウボールアース 2,,,,,REVISED,凍結した地球で生存者たちが暮らす巨大コミュニティに身を寄せた鉄男とユキオ。厳しい環境下で生き抜く人々と交流を深める中、氷海から新たな宇宙怪獣の脅威が迫りくる。,,
スノウボールアース 1,,,,,REVISED,銀河怪獣との決戦を終え、ロボット「ユキオ」と共に10年ぶりに地球へ帰還した少年・鉄男。しかし彼を待っていたのは、謎の寒冷化によって雪と氷に覆われ変わり果てた故郷だった。,,
アニメーションと国家,,,,,REVISED,アニメーション制作がいかに国家の制度や政治的意図と関わってきたかを考察する研究書。戦中のプロパガンダ映画から現代の作品まで、アニメーターの労働環境も含め多角的に論じる。,,
ANIMAGE LIBRARY VOL.1 DVD BOOK「ほしのこえ」,,,,,REVISED,新海誠監督の原点ともいえる商業デビュー作『ほしのこえ』の魅力を詰め込んだDVDブック。本編映像のほか、監督直筆の絵コンテ完全版など、制作の裏側に迫る貴重な資料を収録。,,
最終兵器彼女（2）,,,,,REVISED,シュウジの先輩・ふゆみの登場や、ちせが「最終兵器」として生きる過酷な現実が少しずつ二人の日常を侵食していく。兵器としての力と少女の心の間で揺れ動くちせの葛藤に焦点を当てる。,,
最終兵器彼女（3）,,,,,REVISED,戦争が激化し、ちせが兵器として戦地へ赴く頻度が増していく。シュウジはそんな彼女を必死に支えようと苦悩するが、親しい友人たちの日常にも戦争の暗い影が容赦なく迫りくる。,,
最終兵器彼女（4）,,,,,REVISED,崩壊していく日常から逃れるため、シュウジとちせは二人きりでの逃避行を決意する。海辺の町で束の間の平穏と幸せを求める彼らだったが、残酷な運命は容赦なく愛と絆を試そうとする。,,
最終兵器彼女（5）,,,,,REVISED,激戦の果てに心身ともに深く傷ついたちせ。シュウジは彼女を守るため寄り添い続けるが、戦況の悪化に呼応するかのように、彼女の内なる「兵器」としての側面がさらに暴走を始めてしまう。,,
最終兵器彼女（6）,,,,,REVISED,終わりゆく世界の中で、シュウジとちせは互いの存在だけを頼りに生き抜こうとあがく。大切な友人の死や絶望的な状況を前に、極限状態に置かれた二人が導き出す愛の形を静かに描き出す。,,
最終兵器彼女（7）,,,,,REVISED,兵器としての運命に完全に飲み込まれゆくちせと、ただ一人の少女として彼女を愛し抜こうとするシュウジ。完全に崩壊していく世界を背景に、不器用な二人が最後に選んだ切なくも美しい結末。,,
エロマンガ表現史,,,,,REVISED,成人向け漫画特有のデフォルメや記号的表現を体系的に読み解く画期的な評論書。身体表現の変遷からフェティシズムの系譜まで、膨大な資料をもとにエロマンガ独自の進化の歴史を紐解く。,,
顔ハメ看板　ハマり道,,,,,REVISED,自称「顔ハメ看板ニスト」の塩谷朋之が、全国各地で自ら穴から顔を出して撮影した膨大なコレクションを紹介。看板の魅力を引き出す独自の作法や、深い考察と愛情が綴られた異色の写真集。,,
なぜ働いていると本が読めなくなるのか,,,,,REVISED,就職した途端に本が読めなくなった著者の実体験を出発点に、「労働」と「読書」の歴史的変遷を辿る。仕事と趣味の両立に悩む現代特有の社会構造を紐解き、文化的な生活を取り戻す道を提言する。,,
ひとりあそびの教科書,,,,,REVISED,他人の目を気にせず、純粋に好きなことに夢中になる「ひとりあそび」の楽しみ方を具体的に説いた指南書。模型作りや虫採りなど、孤独にあそぶことで得られる精神的な豊かさと、自分だけの世界を深く掘り下げていくための心構えを丁寧に紹介。周囲の同調圧力から解放されたい大人のための、新しい休日の過ごし方を提案する。,,
現代横歩取りのすべて,,,,,REVISED,最新の横歩取り事情を網羅した将棋の定跡書。後手番で優秀とされた「△8四飛・5二玉型」に対し、先手がどう立ち向かうべきか、具体的な対策と戦術を詳細に解説。難解とされるプロ間の複雑な変化をアマチュアにもわかりやすく体系化しており、現代将棋の最前線を深く学べる実戦的な一冊。,,
ブラッドハーレーの馬車,,,,,REVISED,華やかな歌劇団の舞台に立つことを夢見る孤児院の無垢な少女たち。しかし、名家ブラッドハーレー家の養女として選ばれ、希望に胸を膨らませて馬車に乗った彼女たちを待ち受けていたのは、過酷な刑務所の囚人たちの慰み者となる残酷な運命だった。閉ざされた絶望の中で消費されていく少女たちの過酷な生を抉り出した衝撃作。,,
新海誠論,,,,,REVISED,デビュー作『ほしのこえ』から『すずめの戸締まり』に至る全軌跡を辿る本格的評論集。ロスジェネ世代の著者が、現代の気候変動問題や地方と都市の分断、震災の記憶といった多角的な視点から「思想としての新海誠」を読み解く。日本アニメーション史における彼の特異な立ち位置と作品の底に潜むメッセージを浮き彫りにする。,,
西洋の敗北と日本の選択,,,,,REVISED,『西洋の敗北』の著者が日本に向けて放つ提言書。泥沼化するウクライナ戦争の背景や、急速に進む米国の衰退と西洋社会の内部崩壊を鋭く分析する。価値観を押し付ける米欧のヒステリーに巻き込まれることなく、多極化する世界の中で日本がいかに独自の立ち位置を確保し、生き残るべきか、冷静な視点から実践的な地政学の戦略を説く。,,
あの国の本当の思惑を見抜く 地政学,,,,,REVISED,「地理が『檻』なら国は『囚人』だ」という独自の視点から世界の動向を読み解く地政学の入門書。人気YouTubeチャンネル「社會部部長」の著者が、アメリカ、ロシア、中国といった大国の抱える弱点や戦略的な制約を、山脈や海洋などの地形的要因から平易に解説する。ニュースの裏側に隠された各国の本当の思惑がわかる一冊。,,
絶対に行けない世界の非公開区域99,,,,,REVISED,かつてのヒトラーの地下壕から、厳重に守られたモルモン教の記録保管庫まで、世界中に存在する「一般人が決して立ち入ることのできない」99の非公開区域を網羅。軍事機密施設、立ち入り禁止の孤島、極秘の地下空間など、著しく危険で謎に満ちた場所の数々を、豊富な写真や詳細な地図とともに解説し、探求心を強く刺激する。,,
行方不明展,,,,,REVISED,「行方不明になりたい」という現代人の密かな願望に呼応するかのように現れる、不気味な異世界への扉。気鋭のホラー作家・梨らが手掛け話題を呼んだ同名展覧会の世界観を基に、架空の失踪者たちが残した手紙や写真などの不穏な“痕跡”を精密に収録。ページをめくるごとに日常が侵食されていくような、背筋が凍る恐怖体験を提供する。,,
怪獣から読む戦後ポピュラー・カルチャー,,,,,REVISED,初期『ゴジラ』が持っていた鋭い社会批評性は、なぜ時代とともに消え去ったのか。戦後の特撮怪獣映画から現代のオタク文化へと至る系譜を辿り、日本のポピュラーカルチャーが次第に「非政治的」で無害なものへと変容していった歴史的背景を読み解く研究書。サブカルチャーを通して戦後日本人の精神史と社会構造の変化を浮き彫りにする。,,
イルミナティ ニューワールドオーダー裏解説ブック,,,,,REVISED,9.11のテロや世界的な疫病の流行など、数々の歴史的事件を予言していたとして話題を集める「イルミナティカード」。その全412種の不気味な絵柄が象徴する秘密結社の暗躍や、隠された歴史的背景を独自の都市伝説的視点から詳細に読み解く。世界の陰謀論の深淵をオールカラーで堪能できる、オカルトファン必携の異端の解説本。,,
知識検定事典,,,,,REVISED,幅広い分野の知識を測るオンラインテスト「知識検定」から厳選された計1000問を収録した決定版。政治、経済、歴史から最新のカルチャーまで、大人が真の教養として身につけておくべき森羅万象を楽しいクイズ形式で学べる。単なる正解の羅列にとどまらず、事典レベルの極めて詳しい解説が付いており、知的好奇心を満たす問題集。,,
SAVE THE CATの法則 : 本当に売れる脚本術,,,,,REVISED,ハリウッドの映画会社が即座に「売れる」と判断する脚本にはどんな秘密があるのか。魅力的な物語を15の明確な展開に分解する「ブレイク・スナイダー・ビート・シート」をはじめ、観客の心を掴むための法則を徹底解説。プロの現場で培われたノウハウが詰まった、あらゆるジャンルのクリエイター必読となる超実践的なストーリー創作のバイブル。,,
謎検対策問題集2024春,,,,,REVISED,日本で唯一の「謎検（謎解き能力検定）」に向けた公式対策問題集の2024年春版。2023年秋に出題された過去問50問に加え、書き下ろしのオリジナル模擬試験など、バラエティ豊かな計80問を丁寧な解説付きで収録。ひらめき力や論理的思考力を鍛えたい受検者はもちろん、謎解きファンの実力試しや脳トレにも最適な一冊。,,
真・バトル奥義（9）,,,,,REVISED,『ポケットモンスター オメガルビー・アルファサファイア』におけるシングルバトルの対戦環境に特化したディープな攻略本。トッププレイヤーたちによる高度な戦術解説や、環境を支配する有力パーティの構築理論、効率的な育成調整まで、ガチ対戦でライバルに勝ち抜くための実践的な秘訣を網羅。対戦の奥深さを追求するプレイヤー必携の書。,,
私を球場に連れてって！　1,,,,,REVISED,野球のルールすら知らない女子高生タマは、高校入学初日から熱狂的なパ・リーグファンの同級生、西武レオナの口論に巻き込まれ、無理やりスタジアムへと連行されてしまう。個性豊かなファンたちの異様な熱気や、初めて味わう球場飯の魅力に圧倒されながら、未知の世界へと足を踏み入れていく波乱万丈な観戦ライフの幕開けを描く。,,
私を球場に連れてって！　2,,,,,REVISED,無理やりスタジアムへ連行されたことをきっかけに、少しずつ野球の楽しさを知り始めたタマ。他球団を熱烈に応援する新たなファン仲間たちとの出会いや、各球場ならではの絶品グルメを堪能する中で、贔屓チームの勝敗に一喜一憂するファンの生態に深く触れていく。初心者だった彼女が、独特の空気に魅了されていく過程を描き出す。,,
私を球場に連れてって！　3,,,,,REVISED,今やスタジアム通いがすっかり日常の一部となったタマ。ご当地感溢れる新作の球場飯に舌鼓を打ち、念願のオールスターゲーム観戦では各球団のファンが入り乱れるお祭り騒ぎを満喫する。しかしペナントレースが佳境に入るにつれ、贔屓チームが下位に沈む弱小球団ファンの切実な悲哀と、それでも応援をやめられない深い業が浮き彫りになる。,,
私を球場に連れてって！　4,,,,,REVISED,野球観戦の喜怒哀楽を分かち合ってきたタマと熱狂的な友人たちの高校生活もいよいよ終盤。進路の悩みや環境の変化に直面しながらも、スタジアムに集えば変わらぬ野球愛で結ばれる彼女たちの絆を描く。どんなに負け続けても贔屓チームを見捨てられないファンたちの切なくも温かい情熱とともに、笑いと涙の観戦ライフが大団円を迎える。,,
ぱいどん　AIで挑む手塚治虫の世界,,,,,REVISED,「もし手塚治虫が現代で新作を描いたら」という途方もない夢に挑んだ前代未聞のプロジェクト。最新のAI技術に膨大な過去作品を学習させ、人間のクリエイターと協働することで生み出された新作漫画。高度に管理化された未来社会を舞台に、記憶を失ったホームレスの主人公ぱいどんが難事件に挑む活躍を描き、制作の裏側と全貌も収録する。,,
アニメ95．2,,,,,REVISED,漫画家・春原ロビンソンが「制作進行」時代の実体験を綴る。過酷な現場の日常から業界の裏側まで、アニメ制作のリアルをユーモアたっぷりに描いた貴重なエッセイ漫画。,,
ヘルタースケルター,,,,,REVISED,トップスター・りりこの美しさは、全身に危険な整形を施した「つくりもの」だった。副作用が心身を蝕む中、芸能界の闇と美に執着する女性の崩壊を描く岡崎京子の衝撃作。,,
リバーズ・エッジオリジナル復刻版,,,,,REVISED,90年代の郊外。女子高生ハルナと山田は、河川敷で見つけた死体を秘密の共有物とする。閉塞感の中を生きる若者たちの脆く残酷な青春を描く岡崎京子の代表作。,,
pink新装版,,,,,REVISED,密かにワニを飼うOLユミ。その餌代と自由な生活のため、夜の仕事で稼ぐ彼女の日常を描く。「愛と資本主義」をテーマに80年代の空気を鮮明に切り取った岡崎京子の傑作。,,
プラネテス（1）,,,,,REVISED,2075年、スペースデブリ回収船の乗組員ハチマキたちの日常を描く。ユーリが宇宙で亡くなった妻の形見のコンパスを探す感動のエピソードなどを収録。,,
プラネテス（2）,,,,,REVISED,ハチマキが木星探査船フォン・ブラウン号の乗組員選考試験に挑む。フィーのタバコ騒動やテロリスト「宇宙防衛戦線」との対立など波乱の展開。,,
プラネテス（3）,,,,,REVISED,木星行きを決意し選考試験を通過したハチマキ。一方で宇宙開発への疑問や自己の孤独感に苛まれ、タナベとの関係も大きく揺れ動いていく。,,
プラネテス（4）,,,,,REVISED,木星探査船出航前に起きたテロ事件を乗り越え、ハチマキとタナベは互いの想いを確認する。フォン・ブラウン号がついに木星へと旅立つ完結巻。,,
無職、川、ブックオフ,,,,,REVISED,30歳まで無職だったライターのマンスーンが、自身の無職時代を振り返るエッセイ。深夜の散歩やブックオフ通いなど、当時の怠惰で愉快、かつ切実な日々を綴る。,,
バーナード嬢曰く。,,,,,REVISED,図書室で「読書家ぶりたい」町田さわ子。本を読まない彼女と読書家たちが、『グレッグのダメ日記』などをめぐりドタバタ読書コメディを展開する第1巻。,,
バーナード嬢曰く。（2）,,,,,REVISED,神林のSF語りがヒートアップ。図書委員の長谷川やド嬢の幼馴染・遠藤も巻き込み、『カラマーゾフの兄弟』から百合SFまで幅広く本を語り合う。,,
バーナード嬢曰く。（3）,,,,,REVISED,『フェルマーの最終定理』や『舟を編む』が登場。本を読まないド嬢がなぜか読書家の心を抉る名言を放ち、図書室の常連たちの関係性も深まる第3巻。,,
バーナード嬢曰く。(5),,,,,REVISED,SF好きの神林が『三体』の面白さを熱弁。図書室の蔵書や電子書籍の話題も交えつつ、本を巡るマニアックな会話と「読書家あるある」が炸裂する。,,
バーナード嬢曰く。 (6),,,,,REVISED,読書家たちの「積読」問題や、図書館での本の探し方がテーマに。ド嬢が相変わらず本を読まずに語る一方、長谷川の意外な読書傾向も明らかになる。,,
バーナード嬢曰く。（4）,,,,,REVISED,村上春樹作品のタイトル当てクイズや、『ハリー・ポッター』の話題で盛り上がる。活字離れしつつも、本を通じて仲を深める4人の賑やかな日常。,,
バーナード嬢曰く。 (7),,,,,REVISED,本の帯へのこだわりや、「本棚を見ればその人がわかる」という定説に挑む。ド嬢と神林たちの本にまつわるマニアックで愛に溢れた掛け合いが続く。,,
波よ聞いてくれ（1）,,,,,REVISED,札幌のカレー店員・鼓田ミナレが、失恋のやけ酒でラジオ局Dの麻藤に絡んだ結果、深夜番組のパーソナリティに大抜擢。規格外のラジオDJ伝説が開幕。,,
