Title,Author,Publisher,Year,Type,Status,Summary,ISBN13,DateAdded
アカギ 4 (バンブーコミックス),,,,,REVISED,市川との伝説の対局から５年の歳月が流れた。不良刑事・安岡の策略によって、再びヤクザの代打ちとして裏社会の勝負の場に引き戻されたアカギ。次なる標的は、緻密な計算と圧倒的な資金力で相手をねじ伏せる強敵・浦部。さらなる高みへと昇華したアカギの狂気と天才性が、新たな舞台でどのように発揮されるのか。新たなる戦いの幕が今、切って落とされる。,,
アカギ 5 (バンブーコミックス),,,,,REVISED,伝説の対局から５年。不良刑事の安岡が代打ちとして連れてきたのは、本物のアカギの名を騙る「ニセアカギ」だった。格上の雀士・浦部の巧妙な罠に嵌り、次第に追い詰められ翻弄されていくニセアカギ。窮地に陥ったその時、ついに本物の赤木しげるが姿を現す。偽物とは次元の違う圧倒的な存在感とプレッシャーが、場を支配していく。,,
アカギ 6 (バンブーコミックス),,,,,REVISED,強敵・浦部との勝負の最中、代打ちの席を引き継いだアカギ。一見すると無謀とも思える異端の打牌と、相手の心理を完全に掌握した圧倒的なブラフによって、不利だった場の空気を瞬く間に一変させていく。浦部の計算を狂わせ、恐怖のどん底に突き落とすアカギの常軌を逸した勝負勘。極限状態での心理戦の真骨頂が、ここに描かれる。,,
アカギ 7 (バンブーコミックス),,,,,REVISED,裏社会でその名を轟かせるアカギの前に、最強にして最狂の敵があらわれた。日本の闇を牛耳る帝王・鷲巣巌。自らの血液と、鷲巣の持つ莫大な財産を賭けた、まさに命懸けの狂気のギャンブル「鷲巣麻雀」の火蓋が遂に切って落とされる。透明な牌「ガラス牌」がもたらす異常な緊張感の中、生き残りを賭けた死闘が幕を開ける。,,
「振り仮名」があれば学力は上がるのか (ポプラ新書 286),,,,,REVISED,「漢字が読めないから、学ぶことそのものを諦めてしまう」。そんな知の格差をなくし、すべての人に平等な学びの入り口を開くためのインフラとして、「ルビ」がいかに重要かを説く画期的な提言書。著者自らが実践する総ルビ仕様のテキストを通じて、振り仮名が読解力や学習意欲に与える影響を多角的に分析し、教育の未来像を提示する。,,
本を読めなくなった人たち コスパとテキストメディアをめぐる現在形 (中公新書ラクレ),,,,,REVISED,なぜ私たちは、かつてのように長い文章に没頭できなくなったのか。タイパ至上主義の蔓延、短尺動画やＳＮＳの普及による情報受容の変容を背景に、活字メディアから離れつつある現代人の心理と社会構造を鋭く解き明かす。読書の喜びを取り戻すためのヒントを探りながら、テキスト文化の未来と、私たちが失いつつあるものについて深く考察する。,,
物語化批判の哲学 〈わたしの人生〉を遊びなおすために (講談社現代新書),,,,,REVISED,就職活動における「ガクチカ」や、ＳＮＳでの「推し活」など、自分の人生をわかりやすい「物語」として語る圧力に疲れてはいないだろうか。気鋭の研究者が分析美学の視点から、そうした物語化の枠組みが持つ危うさを指摘。人生をより自由に、そして豊かに「遊びなおす」ための実践的なアプローチを提案する、現代人のための処方箋。,,
増補改訂版 スマホ時代の哲学 「常時接続の世界」で失われた孤独をめぐる冒険,,,,,REVISED,スマートフォンによって「常時接続」が当たり前となった現代社会。私たちは常に情報にさらされ、静かに深く考える時間を奪われている。不確実なものに耐える力「ネガティブ・ケイパビリティ」を手がかりに、失われた孤独と集中の時間を取り戻すための思索の旅。デジタルデトックスのその先にある、真の心の平穏を見つけるための哲学書。,,
PLURALITY,,,,,REVISED,政治的・社会的な分断や対立が世界中で深まる中、台湾の元デジタル発展部長オードリー・タンらが提唱する新たな概念「プルラリティ（多元性）」。テクノロジーを駆使して多様な人々の声をつなぎ直し、対立を乗り越えて協働するための画期的なアプローチを紹介する。民主主義のアップデートを目指す、希望に満ちた未来のビジョン。,,
現代思想入門 (講談社現代新書),,,,,REVISED,難解なイメージが先行する現代思想を、かつてないほど平易に、そして実践的に解説する入門書。デリダ、ドゥルーズ、フーコーといった知の巨人たちの思想を、「秩序と逸脱」という軸から読み解く。複雑化する現代社会の問題を捉え直すための「高い解像度」と、思考の枠組みを揺さぶる知的ツールを読者に授ける、スリリングな思想のレッスン。,,
日本経済の死角 収奪的システムを解き明かす (ちくま新書 1840),,,,,REVISED,企業の生産性は向上しているはずなのに、なぜ私たちの実質賃金は上がらないのか。経済学者の河野龍太郎が、金融緩和や労働市場の構造など、７つの「死角」から現代日本の経済システムを徹底的に分析。家計が不当に収奪されるメカニズムを解き明かし、日本経済が直面する長期停滞の真の要因と、そこから抜け出すための道筋を提示する。,,
男はなぜ孤独死するのか 男たちの成功の代償,,,,,REVISED,なぜ男性は、女性に比べて孤独に陥りやすく、孤独死のリスクが高いのか。心理学者のトーマス・ジョイナーが、仕事での成功や男としてのプライドを優先するあまり、人間関係を犠牲にしてしまう「男らしさ」の危うさを指摘。豊富な統計データと心理学的知見から、男性が抱える孤独の深層心理と、その致命的な代償について警鐘を鳴らす。,,
週刊文春エンタ+ (文春ムック),,,,,REVISED,庵野秀明監督がメガホンを取った映画『シン・仮面ライダー』の魅力を徹底解剖する大特集号。主演の池松壮亮をはじめとする豪華キャストの鼎談や、監督自身のロングインタビューを収録。さらに、石ノ森章太郎による原作漫画の貴重なエピソード「一文字隼人、登場！」も特別付録として掲載。作品の深淵に迫る、特撮ファン必読の一冊。,,
週刊文春エンタ+ 総力特集 怪獣8号 (文春ムック),,,,,REVISED,大ヒットアニメ『怪獣８号』の魅力を余すところなく伝える総力特集。原作者・松本直也やメインキャスト陣への熱いインタビューはもちろん、第１話の精緻な絵コンテや、作品の世界観を形作る怪獣イメージボードなど、ここでしか見られない貴重な設定資料を多数収録。アニメ制作の裏側に迫り、作品をより深く楽しむためのファン必携ムック。,,
週刊文春エンタ+ 特集 機動戦士ガンダム (文春MOOK),,,,,REVISED,世代を超えて愛され続ける『機動戦士ガンダム』シリーズの魅力を再発見する特集号。安彦良和と樋口真嗣による豪華対談をはじめ、心に刺さる名セリフベスト１０、ザクの活躍に焦点を当てた名場面集、壮大な宇宙世紀事件史年表など、読み応え抜群の企画が満載。最新作の情報も網羅し、すべてのガンダムファンを熱狂させる一冊。,,
週刊文春エンタ! エンタメが私を救う。 (文春MOOK),,,,,REVISED,「エンタメが私を救う」をテーマに、映画、アニメ、漫画など多彩なジャンルを網羅した最強の総合エンタメ誌。広瀬アリスが語る漫画愛や、宮野真守・三石琴乃らトップ声優のインタビューを収録。さらに社会現象となった『愛の不時着』など、２０２０年を彩った韓流・アニメトレンドを総ざらいし、エンタメの持つ圧倒的なパワーを伝える。,,
週刊文春エンタ! アニメの力。 (文春MOOK),,,,,REVISED,完結編『シン・エヴァンゲリオン劇場版』の公開に向け、『エヴァンゲリオン』シリーズの軌跡を総力特集。これまでの物語の徹底解説に加え、緒方恵美、林原めぐみ、高橋洋子ら、作品を彩ってきたキャストやアーティストへの深いインタビューを収録。社会現象を巻き起こしたアニメの真髄に迫る、すべてのエヴァファン必読の完全保存版ムック。,,
文春ムック 週刊文春エンタ+(プラス) 特集『機動警察パトレイバー』 (文春ムック),,,,,REVISED,待望の新作『機動警察パトレイバー EZY』を中心に、長きにわたり愛されるパトレイバーシリーズを大特集。押井守と出渕裕というレジェンドクリエイターによる対談は必見。さらに、劇中で発生した事件を週刊誌風の切り口で紹介するユニークな記事や、ファンにはたまらない特別付録のポスター＆シールも収録した、充実のムック本。,,
コードギアス 反逆のルルーシュ ゼロ×ぴあ (ぴあMOOK),,,,,REVISED,劇場版『コードギアス 復活のルルーシュ』の公開を記念し、物語の鍵を握る仮面の男「ゼロ」の存在を多角的に掘り下げた一冊。複雑な人物相関図や心に響く名言集に加え、スザク役を務める櫻井孝宏のスペシャルコメントも収録。ゼロというキャラクターの魅力と、彼が歩んだ数奇な運命を振り返りながら、新作への期待を高めるファン必読の書。,,
STEINS;GATE 0 (6) (角川コミックス・エース),,,,,REVISED,愛する牧瀬紅莉栖を救うことをついに諦めてしまったβ世界線。深い失意と絶望の底に沈む岡部倫太郎だったが、紅莉栖の記憶と人格を持つ人工知能「アマデウス」との運命的な出会いによって、再び過酷な時間の歯車に巻き込まれていく。過去への執着と未来への希望が交錯する中、岡部が下す決断とは。正統続編のドラマが加速する。,,
STEINS;GATE 0 (5) (角川コミックス・エース),,,,,REVISED,牧瀬紅莉栖を救えなかった悲劇的なβ世界線を描く、『STEINS;GATE』の正統続編。彼女の記憶を精巧に宿すAI「アマデウス」との接触をきっかけに、日常を取り戻そうとしていた岡部倫太郎の周囲で、再び奇妙な異変が起き始める。タイムマシンを巡る各国の思惑が交錯し、見えない敵の影が徐々にラボメンたちへと忍び寄る。,,
STEINS;GATE 0 (4) (角川コミックス・エース),,,,,REVISED,最愛の紅莉栖の死というトラウマから立ち直れず、もがき苦しむ岡部倫太郎。β世界線において、人工知能「アマデウス」として蘇った彼女の記憶システムが、皮肉にもタイムマシン技術を巡る新たな世界規模の陰謀の扉を開いてしまう。狂気のマッドサイエンティスト「鳳凰院凶真」を封印した岡部を、逃れられない過酷な運命が待ち受ける。,,
STEINS;GATE ELITE 公式資料集 Deceive the World,,,,,REVISED,全編が美麗なアニメーションでフルリメイクされた『STEINS;GATE ELITE』の世界を深く堪能できる公式資料集。詳細なキャラクター解説や、アニメ制作用に描き起こされた豊かな表情集、複雑な世界線の分岐を解き明かす資料など、作品を読み解くための情報が満載。ラボメン必携の設定資料が収録された、ファン垂涎の一冊。,,
STEINS;GATE 0 (3) (角川コミックス・エース),,,,,REVISED,幾度ものタイムリープの末、紅莉栖を救うことを諦めたβ世界線の重苦しい物語。彼女の記憶を移植された人工知能「アマデウス」との邂逅が、深い喪失感を抱える岡部倫太郎を、再び出口のない時間の迷宮へと誘っていく。過去の記憶と目の前のAIの狭間で揺れ動く岡部の葛藤と、忍び寄る新たな危機を克明に描いたサスペンス。,,
STEINS;GATE 0 (2) (角川コミックス・エース),,,,,REVISED,牧瀬紅莉栖を永遠に失ったβ世界線。白衣を脱ぎ捨て普通の大学生として生きようとする岡部倫太郎の前に現れたのは、人工知能「アマデウス」に搭載された紅莉栖の記憶システムだった。彼女の遺した理論を巡り、再び水面下で激しいタイムマシン争奪戦が幕を開ける。平穏な日常が徐々に崩れ去っていく様を描く、緊迫のストーリー。,,
STEINS;GATE 0 (1) (角川コミックス・エース),,,,,REVISED,紅莉栖の死という最悪の結末を回避できなかったβ世界線。深い絶望を抱える岡部倫太郎は、彼女の記憶を完全に受け継ぐAI「アマデウス」との出会いを機に、目を背けていた過去と再び対峙することになる。失われたはずの天才少女の記憶がもたらすのは、希望かそれとも破滅か。運命に抗う者たちの新たな戦いが、ここから始まる。,,
STEINS;GATE 0 コミックアンソロジー (IDコミックス・DNAメディアコミックス),,,,,REVISED,『STEINS;GATE 0』の重厚な世界観を彩るコミックアンソロジー。紅莉栖を救えなかった悲哀漂うβ世界線を舞台に、豪華執筆陣がそれぞれの独自の視点と解釈で描く、ラボメンたちのささやかな日常と珠玉の短編集。本編のシリアスな展開の合間に見せる、彼らの人間味溢れるやり取りや隠された感情が、読者の心を温かく包み込む。,,
STEINS;GATE 0 電撃コミックアンソロジー (電撃コミックスEX),,,,,REVISED,『STEINS;GATE 0』を愛する作家陣が集結した電撃コミックアンソロジー。お馴染みのラボメンたちに加え、AI「アマデウス」や真帆といった新キャラクターたちも交え、β世界線で紡がれるもうひとつの日常をコミカルかつドラマチックに描く。本編とは一味違うキャラクターたちの魅力が詰まった、ファン必見のショートストーリーズ。,,
STEINS;GATE 0 公式資料集 Amadeus’ Script,,,,,REVISED,アドベンチャーゲーム『STEINS;GATE 0』の魅力を徹底解剖する公式資料集。未公開のキャラクター設定画や美麗なイベントCGを惜しみなく収録するだけでなく、複雑に絡み合う伏線や分岐する世界線の構造を論理的に解説。β世界線の全貌に迫る詳細な考察は、ゲーム本編をプレイしたファンにとって新たな発見をもたらす必読の一冊となっている。,,
STEINS;GATE 永劫回帰のパンドラ(1) (ファミ通クリアコミックス),,,,,REVISED,牧瀬紅莉栖を救えなかったβ世界線。深い絶望と後悔を抱えながら大学生活を送る岡部倫太郎は、ある日のセミナーで紅莉栖の先輩である比屋定真帆と運命的な出会いを果たす。彼女が関わる人工知能「アマデウス」の存在が、過去と未来を巻き込む新たな悲劇と希望への扉を開く。救済なき世界で足掻く狂気のマッドサイエンティストの、もうひとつの物語が幕を開ける。,,
STEINS;GATE 無限遠点のアークライト (ヤングジャンプコミックス),,,,,REVISED,運命の収束に抗えず、岡部倫太郎がタイムマシンでの救出を諦めてしまったβ世界線。悲しみに暮れる彼を救うため、椎名まゆりは阿万音鈴羽と共にタイムマシン「C204型」に乗り込み、過去へ跳躍する決意を固める。彼女の純粋な想いと切ない決断が、絶望に染まる未来の軌跡をどう変えていくのか。まゆりの視点から紡がれる、もう一つの『シュタインズ・ゲート』の感動作。,,
TVAnime STEINS;GATE OFFICIAL GUIDEBOOK 記憶補完のモノグラフ,,,,,REVISED,大ヒットを記録したTVアニメ『シュタインズ・ゲート』の世界をより深く楽しむための公式ガイドブック。全24話にわたる怒涛のストーリーラインを詳細に解説するとともに、岡部倫太郎役の宮野真守ら豪華声優陣の熱い想いが語られる特別インタビューを収録。さらに、アニメ制作陣による緻密な設定資料も網羅されており、物語の裏側に隠された制作秘話を楽しめる。,,
STEINS;GATE 相思相愛のトゥルーメモリーズ,,,,,REVISED,TVアニメ『シュタインズ・ゲート』を彩るヒロインたちの魅力が詰まったファン必携のデータブック。岡部倫太郎と橋田至の軽妙なナビゲートのもと、ラボメンガールズの素顔や劇中の名シーンを振り返る。豪華イラストレーター陣による描き下ろしピンナップや、キャスト陣による裏話満載の対談企画など、キャラクターたちの新たな一面を堪能できる充実のコンテンツ。,,
シュタインズ・ゲート 公式資料集,,,,,REVISED,想定科学アドベンチャーゲーム『STEINS;GATE』の奥深い世界観を網羅した公式資料集。初期のキャラクター設定画や背景美術をはじめ、緻密に構成されたシナリオの全体像、巧妙に張られた伏線の解析など、ファンが知りたい情報を徹底解説。さらに、開発スタッフによる制作秘話やインタビューも収録されており、ゲームの裏側に迫る圧倒的な情報量を誇る一冊。,,
スノウボールアース = SNOW BALL EARTH. 2,,,,,REVISED,宇宙の脅威である銀河怪獣との激闘を終え、ついに地球への帰還を果たした鉄男。しかし、彼を待ち受けていたのは、一面が氷に覆われた過酷な「凍結地球」の姿だった。相棒である自律稼働ロボット・ユキオと共に、変わり果てた故郷で新たな謎と過酷な運命に立ち向かう。圧倒的なスケールで描かれるSFサバイバルアクション、手に汗握る展開が続く注目のストーリー。,,
スノウボールアース = SNOW BALL EARTH. 1,,,,,REVISED,西暦2025年、地球に襲来した巨大な銀河怪獣に対抗するため、人見知りの少年・鉄男は自律稼働型の巨大ロボット「ユキオ」に乗り込み、命懸けの戦いに身を投じる。奇跡的に人類を救い、宇宙から生還した彼だったが、辿り着いた地球は氷河期のような雪と氷の世界に豹変していた。絶望的な状況下で少年とロボットの絆が試される、新感覚のSF冒険活劇が開幕。,,
アニメーションと国家,,,,,REVISED,日本のアニメーションがいかにして制度化され、国家との関わりの中で発展してきたかを多角的に考察する学術的研究書。戦時中におけるプロパガンダ映画制作現場の過酷な労働環境から、現代の宮崎駿監督作品『君たちはどう生きるか』に至るまで、アニメと政治・社会の密接な関係性を浮き彫りにする。映像文化の裏側にある歴史的背景を深く理解できる貴重な一冊。,,
ANIMAGE LIBRARY VOL.1 DVD BOOK「ほしのこえ」,,,,,REVISED,日本のアニメ界に衝撃を与えた新海誠監督の商業デビュー作『ほしのこえ』の魅力を凝縮した完全版DVDブック。デジタル環境で制作されたオリジナル版の高画質映像に加え、新海監督直筆による絵コンテの全貌を収録。個人制作から始まった本作がどのようにして生み出されたのか、その原点と制作過程の熱量を感じ取れる、アニメーションファン必見の豪華な資料集。,,
最終兵器彼女（2）,,,,,REVISED,北海道の静かな田舎町で、不器用ながらも初々しい交際をスタートさせた高校生のシュウジとちせ。しかし、突如として街が空襲に見舞われ、日常は無惨にも引き裂かれる。炎と瓦礫の中でシュウジが目撃したのは、自衛隊の「最終兵器」として全身を機械に改造され、空を飛び交うちせの姿だった。過酷な運命に翻弄される二人の愛と絶望を描く、衝撃のSFラブストーリー。,,
最終兵器彼女（3）,,,,,REVISED,北海道の静かな田舎町で、不器用ながらも初々しい交際をスタートさせた高校生のシュウジとちせ。しかし、突如として街が空襲に見舞われ、日常は無惨にも引き裂かれる。炎と瓦礫の中でシュウジが目撃したのは、自衛隊の「最終兵器」として全身を機械に改造され、空を飛び交うちせの姿だった。過酷な運命に翻弄される二人の愛と絶望を描く、衝撃のSFラブストーリー。,,
最終兵器彼女（4）,,,,,REVISED,北海道の静かな田舎町で、不器用ながらも初々しい交際をスタートさせた高校生のシュウジとちせ。しかし、突如として街が空襲に見舞われ、日常は無惨にも引き裂かれる。炎と瓦礫の中でシュウジが目撃したのは、自衛隊の「最終兵器」として全身を機械に改造され、空を飛び交うちせの姿だった。過酷な運命に翻弄される二人の愛と絶望を描く、衝撃のSFラブストーリー。,,
最終兵器彼女（5）,,,,,REVISED,北海道の静かな田舎町で、不器用ながらも初々しい交際をスタートさせた高校生のシュウジとちせ。しかし、突如として街が空襲に見舞われ、日常は無惨にも引き裂かれる。炎と瓦礫の中でシュウジが目撃したのは、自衛隊の「最終兵器」として全身を機械に改造され、空を飛び交うちせの姿だった。過酷な運命に翻弄される二人の愛と絶望を描く、衝撃のSFラブストーリー。,,
最終兵器彼女（6）,,,,,REVISED,北海道の静かな田舎町で、不器用ながらも初々しい交際をスタートさせた高校生のシュウジとちせ。しかし、突如として街が空襲に見舞われ、日常は無惨にも引き裂かれる。炎と瓦礫の中でシュウジが目撃したのは、自衛隊の「最終兵器」として全身を機械に改造され、空を飛び交うちせの姿だった。過酷な運命に翻弄される二人の愛と絶望を描く、衝撃のSFラブストーリー。,,
最終兵器彼女（7）,,,,,REVISED,北海道の静かな田舎町で、不器用ながらも初々しい交際をスタートさせた高校生のシュウジとちせ。しかし、突如として街が空襲に見舞われ、日常は無惨にも引き裂かれる。炎と瓦礫の中でシュウジが目撃したのは、自衛隊の「最終兵器」として全身を機械に改造され、空を飛び交うちせの姿だった。過酷な運命に翻弄される二人の愛と絶望を描く、衝撃のSFラブストーリー。,,
エロマンガ表現史,,,,,REVISED,成人向け漫画における特有のデフォルメや記号的表現がいかにして進化してきたかを、体系的かつ真面目に考察する画期的な漫画評論書。おっぱい表現の変遷をはじめ、触手やアヘ顔といった特殊なフェティシズムの系譜について、膨大な一次資料に基づき深く掘り下げる。エロマンガというサブカルチャーの歴史的背景と表現の豊かさを学術的視点から紐解く意欲作。,,
顔ハメ看板　ハマり道,,,,,REVISED,自らを「顔ハメ看板ニスト」と名乗る著者の塩谷朋之が、全国各地を巡って撮影した膨大かつユニークな看板コレクションを大公開。単なる観光地の記念撮影に留まらず、いかにして看板の魅力を最大限に引き出すかという独自の哲学や、顔をハメる際のストイックな姿勢が語られる。シュールな写真の数々とともに、看板への並々ならぬ愛情が綴られた異色のエンタメ写真集。,,
なぜ働いていると本が読めなくなるのか,,,,,REVISED,学生時代は本を愛読していたのに、就職した途端に読書ができなくなってしまった著者の実体験を出発点に、「労働」と「読書」の歴史的な変遷を紐解く。現代人が仕事に忙殺され、趣味を楽しむ精神的・時間的余裕を奪われている社会構造の歪みを鋭く指摘。どうすれば私たちは人間らしい豊かな生活を取り戻せるのか、働き方の根本的な見直しを提言する必読の新書。,,
ひとりあそびの教科書,,,,,REVISED,SNSなどで他人の目を気にしてしまいがちな現代において、純粋に自分の好きなことに没頭する「ひとりあそび」の真の価値と楽しみ方を説く指南書。プラモデル作りや昆虫採集など、孤独を恐れずに一つの世界に深く入り込むことで、自己と向き合い精神的な豊かさを手に入れる具体的なアプローチを紹介。ストレス社会を生き抜くための、心地よい一人時間の過ごし方を提案する。,,
現代横歩取りのすべて,,,,,REVISED,将棋界で日々進化を続ける「横歩取り」の最新事情と緻密な定跡を分かりやすくまとめた戦術書。特に後手番にとって有利とされてきた「△8四飛・5二玉型」に対して、先手番がいかにして主導権を握るべきかという具体的な対策を徹底的に解説。プロ棋士同士のハイレベルで複雑な変化を体系的に整理しており、実戦での勝率アップを目指す有段者にとって必携の一冊。,,
ブラッドハーレーの馬車,,,,,REVISED,華やかで誰もが憧れる歌劇団の舞台に立つことを夢見る孤児院の少女たち。しかし、名家ブラッドハーレーの養女として選ばれ、希望に胸を膨らませて馬車に乗った彼女たちを待ち受けていたのは、監獄に収容された囚人たちの慰み者となる絶望的な運命だった。無慈悲な現実と少女たちの儚い希望が交錯する、人間の狂気と残酷さを美しくも恐ろしく描き出したダークファンタジー。,,
新海誠論,,,,,REVISED,『ほしのこえ』からメガヒット作『すずめの戸締まり』に至るまで、新海誠監督が描き続けてきたテーマの変遷を鋭く分析する本格的評論集。ロスジェネ世代の著者ならではの視点から、作品に込められた気候変動への危機感や、地方と都市の分断といった現代社会の構造的問題を読み解く。単なるアニメ作品の解説を超え、「思想家」としての新海誠の姿を浮き彫りにする。,,
西洋の敗北と日本の選択,,,,,REVISED,世界的ベストセラー『西洋の敗北』の著者が、激動の国際情勢に直面する日本に向けて放つ衝撃的な提言の数々。長期化するウクライナ戦争や超大国アメリカの相対的衰退を冷静に分析し、西洋社会の内部崩壊がもたらす地政学的リスクを警告する。欧米のヒステリックな価値観の押し付けから距離を置き、日本がいかにして独自の生存戦略を構築すべきかを説く国際政治論。,,
あの国の本当の思惑を見抜く 地政学,,,,,REVISED,「地理が檻ならば、国家はそこから逃れられない囚人である」。人気YouTubeチャンネル「社會部部長」の著者が、難解な地政学の基礎を驚くほど平易に解説する入門書。アメリカ、ロシア、中国など大国が抱える根本的な弱点や行動原理を、地形や海峡といった地理的制約の観点から鮮やかに解き明かす。世界のニュースの裏側に隠された「本当の思惑」が見えてくる一冊。,,
絶対に行けない世界の非公開区域99,,,,,REVISED,ナチス・ドイツ時代のヒトラーの地下壕跡から、厳重に管理されたモルモン教の巨大な記録保管庫まで。地球上に存在しながらも、軍事機密や極端な危険性、宗教的タブーなどの理由で一般人が決して立ち入ることのできない99の非公開区域を網羅。豊富な写真と詳細な地図を交えながら、立ち入り禁止区域に隠された知られざる歴史と謎に満ちた真実をスリリングに紹介する。,,
行方不明展,,,,,REVISED,「行方不明になりたい」と強く願う人間の前にだけ現れるという、不気味な異世界への入り口。気鋭のホラー作家・梨らが手掛けた話題の同名展覧会をベースに、架空の失踪者たちが残した不可解な文章や不穏な生活の痕跡をまとめた異色の書籍。ページをめくるごとにじわじわと迫り来る恐怖と、現実と虚構の境界が曖昧になるような極上の悪夢的体験を味わえるホラー作品。,,
怪獣から読む戦後ポピュラー・カルチャー,,,,,REVISED,1954年の初代『ゴジラ』が持っていた強烈な反核メッセージや社会批評性は、なぜその後の作品群から失われてしまったのか。戦後の特撮映画の歴史を皮切りに、怪獣ブームや現代のオタク文化への変遷を辿りながら、日本のポピュラーカルチャーがいかにして「非政治的」で消費的なものへと変容していったかを鋭く読み解く。カルチュラル・スタディーズの視点が光る研究書。,,
イルミナティ ニューワールドオーダー裏解説ブック,,,,,REVISED,9.11同時多発テロや世界的なパンデミックを予言していたとして、オカルト界隈で熱狂的な支持を集める「イルミナティカード」。本書では全412種類にも及ぶカードの不気味な絵柄をオールカラーで収録し、それぞれのカードが象徴する秘密結社の陰謀や歴史的事件との関連性を都市伝説の視点から徹底解説。世界の裏側を覗き見るような、危険な魅力に満ちたオカルト考察本。,,
